cnt,co_nm_txt,trns_dttm,rle_srvc_cd,prod_cd,decsn_cd
34,PMCPL,3/8/2021,POSTPROCESSING,TermLife,ACC
11,PMCPL,3/8/2021,POSTPROCESSING,TermLife,DCL
1,PMCPL,3/8/2021,POSTPROCESSING,TermLife,PP
25,PMCPL,3/8/2021,POSTPROCESSING,TermLife,RUW
19,PMCPL,3/9/2021,DISCLOSURES,TermLife,ACC
37,PMCPL,3/9/2021,DISCLOSURES,TermLife,DCL
21,PMCPL,3/9/2021,DISCLOSURES,TermLife,RUW
1,PMCPL,3/9/2021,MIB,TermLife,ACC
27,PMCPL,3/9/2021,MIB,TermLife,RUW
1,PMCPL,3/9/2021,POSTPROCESSING,TermLife,ACC
14,PMCPL,3/9/2021,POSTPROCESSING,TermLife,DCL
23,PMCPL,3/9/2021,POSTPROCESSING,TermLife,RUW
15,PMCPL,3/10/2021,DISCLOSURES,TermLife,ACC
35,PMCPL,3/10/2021,DISCLOSURES,TermLife,ACC_STANDARD_TB
11,PMCPL,3/10/2021,DISCLOSURES,TermLife,DCL
25,PMCPL,3/10/2021,DISCLOSURES,TermLife,PP
10,PMCPL,3/10/2021,DISCLOSURES,TermLife,RUW
39,PMCPL,3/10/2021,MIB,TermLife,ACC
18,PMCPL,3/10/2021,MIB,TermLife,RUW
5,PMCPL,3/10/2021,POSTPROCESSING,TermLife,ACC
8,PMCPL,3/10/2021,POSTPROCESSING,TermLife,ACC_STANDARD_TB
38,PMCPL,3/10/2021,POSTPROCESSING,TermLife,DCL
32,PMCPL,3/10/2021,POSTPROCESSING,TermLife,PP
6,PMCPL,3/10/2021,POSTPROCESSING,TermLife,RUW
6,PMCPL,3/11/2021,DISCLOSURES,TermLife,ACC
40,PMCPL,3/11/2021,DISCLOSURES,TermLife,ACC_STANDARD_TB
20,PMCPL,3/11/2021,DISCLOSURES,TermLife,PP
24,PMCPL,3/11/2021,DISCLOSURES,TermLife,RUW
11,PMCPL,3/11/2021,MIB,TermLife,ACC
4,PMCPL,3/11/2021,MIB,TermLife,RUW
22,PMCPL,3/11/2021,POSTPROCESSING,TermLife,ACC
9,PMCPL,3/11/2021,POSTPROCESSING,TermLife,ACC_STANDARD_TB
13,PMCPL,3/11/2021,POSTPROCESSING,TermLife,PP
4,PMCPL,3/11/2021,POSTPROCESSING,TermLife,RUW
40,PMCPL,3/12/2021,DISCLOSURES,TermLife,ACC
28,PMCPL,3/12/2021,DISCLOSURES,TermLife,ACC_STANDARD_TB
1,PMCPL,3/12/2021,DISCLOSURES,TermLife,RUW
14,PMCPL,3/12/2021,MIB,TermLife,ACC
24,PMCPL,3/12/2021,MIB,TermLife,RUW
27,PMCPL,3/12/2021,POSTPROCESSING,TermLife,ACC
37,PMCPL,3/12/2021,POSTPROCESSING,TermLife,ACC_STANDARD_TB
18,PMCPL,3/12/2021,POSTPROCESSING,TermLife,RUW
32,PMCPL,3/13/2021,DISCLOSURES,TermLife,ACC
36,PMCPL,3/13/2021,DISCLOSURES,TermLife,PP
15,PMCPL,3/13/2021,DISCLOSURES,TermLife,RUW
34,PMCPL,3/13/2021,MIB,TermLife,ACC
40,PMCPL,3/13/2021,MIB,TermLife,RUW
30,PMCPL,3/13/2021,POSTPROCESSING,TermLife,ACC
34,PMCPL,3/13/2021,POSTPROCESSING,TermLife,PP
15,PMCPL,3/13/2021,POSTPROCESSING,TermLife,RUW
30,PMCPL,3/14/2021,DISCLOSURES,TermLife,ACC
11,PMCPL,3/14/2021,DISCLOSURES,TermLife,DCL
28,PMCPL,3/14/2021,DISCLOSURES,TermLife,PP
7,PMCPL,3/14/2021,DISCLOSURES,TermLife,RUW
3,PMCPL,3/14/2021,MIB,TermLife,ACC
9,PMCPL,3/14/2021,MIB,TermLife,RUW
9,PMCPL,3/14/2021,POSTPROCESSING,TermLife,ACC
5,PMCPL,3/14/2021,POSTPROCESSING,TermLife,DCL
15,PMCPL,3/14/2021,POSTPROCESSING,TermLife,PP
26,PMCPL,3/14/2021,POSTPROCESSING,TermLife,RUW
39,PMCPL,3/15/2021,DISCLOSURES,TermLife,ACC
27,PMCPL,3/15/2021,DISCLOSURES,TermLife,ACC_STANDARD_TB
18,PMCPL,3/15/2021,DISCLOSURES,TermLife,PP
23,PMCPL,3/15/2021,DISCLOSURES,TermLife,RUW
39,PMCPL,3/15/2021,MIB,TermLife,ACC
39,PMCPL,3/15/2021,MIB,TermLife,RUW
22,PMCPL,3/15/2021,POSTPROCESSING,TermLife,ACC
28,PMCPL,3/15/2021,POSTPROCESSING,TermLife,ACC_STANDARD_TB
5,PMCPL,3/15/2021,POSTPROCESSING,TermLife,PP
19,PMCPL,3/15/2021,POSTPROCESSING,TermLife,RUW
34,PMCPL,3/16/2021,DISCLOSURES,TermLife,ACC
22,PMCPL,3/16/2021,DISCLOSURES,TermLife,DCL
8,PMCPL,3/16/2021,DISCLOSURES,TermLife,PP
24,PMCPL,3/16/2021,DISCLOSURES,TermLife,RUW
10,PMCPL,3/16/2021,MIB,TermLife,ACC
37,PMCPL,3/16/2021,MIB,TermLife,RUW
29,PMCPL,3/16/2021,POSTPROCESSING,TermLife,ACC
25,PMCPL,3/16/2021,POSTPROCESSING,TermLife,DCL
37,PMCPL,3/16/2021,POSTPROCESSING,TermLife,PP
36,PMCPL,3/16/2021,POSTPROCESSING,TermLife,RUW
4,PMCPL,3/17/2021,DISCLOSURES,TermLife,ACC
39,PMCPL,3/17/2021,DISCLOSURES,TermLife,ACC_STANDARD_TB
34,PMCPL,3/17/2021,DISCLOSURES,TermLife,DCL
38,PMCPL,3/17/2021,DISCLOSURES,TermLife,PP
19,PMCPL,3/17/2021,DISCLOSURES,TermLife,RUW
9,PMCPL,3/17/2021,MIB,TermLife,ACC
26,PMCPL,3/17/2021,MIB,TermLife,RUW
39,PMCPL,3/17/2021,POSTPROCESSING,TermLife,ACC
18,PMCPL,3/17/2021,POSTPROCESSING,TermLife,ACC_STANDARD_TB
18,PMCPL,3/17/2021,POSTPROCESSING,TermLife,DCL
15,PMCPL,3/17/2021,POSTPROCESSING,TermLife,PP
24,PMCPL,3/17/2021,POSTPROCESSING,TermLife,RUW
7,PMCPL,3/18/2021,DISCLOSURES,TermLife,ACC
25,PMCPL,3/18/2021,DISCLOSURES,TermLife,DCL
34,PMCPL,3/18/2021,DISCLOSURES,TermLife,RUW
22,PMCPL,3/18/2021,MIB,TermLife,ACC
5,PMCPL,3/18/2021,MIB,TermLife,RUW
14,PMCPL,3/18/2021,POSTPROCESSING,TermLife,ACC
1,PMCPL,3/18/2021,POSTPROCESSING,TermLife,DCL
27,PMCPL,3/18/2021,POSTPROCESSING,TermLife,RUW
10,PMCPL,3/19/2021,DISCLOSURES,TermLife,ACC
3,PMCPL,3/19/2021,DISCLOSURES,TermLife,ACC_STANDARD_TB
6,PMCPL,3/19/2021,DISCLOSURES,TermLife,DCL
13,PMCPL,3/19/2021,DISCLOSURES,TermLife,PP
36,PMCPL,3/19/2021,DISCLOSURES,TermLife,RUW
19,PMCPL,3/19/2021,MIB,TermLife,ACC
16,PMCPL,3/19/2021,MIB,TermLife,RUW
4,PMCPL,3/19/2021,POSTPROCESSING,TermLife,ACC
27,PMCPL,3/19/2021,POSTPROCESSING,TermLife,DCL
24,PMCPL,3/19/2021,POSTPROCESSING,TermLife,PP
10,PMCPL,3/19/2021,POSTPROCESSING,TermLife,RUW
22,PMCPL,3/20/2021,DISCLOSURES,TermLife,ACC
37,PMCPL,3/20/2021,DISCLOSURES,TermLife,PP
16,PMCPL,3/20/2021,DISCLOSURES,TermLife,RUW
32,PMCPL,3/20/2021,MIB,TermLife,ACC
13,PMCPL,3/20/2021,MIB,TermLife,RUW
8,PMCPL,3/20/2021,POSTPROCESSING,TermLife,ACC
15,PMCPL,3/20/2021,POSTPROCESSING,TermLife,PP
23,PMCPL,3/20/2021,POSTPROCESSING,TermLife,RUW
28,PMCPL,3/21/2021,DISCLOSURES,TermLife,ACC
8,PMCPL,3/21/2021,DISCLOSURES,TermLife,PP
9,PMCPL,3/21/2021,DISCLOSURES,TermLife,RUW
38,PMCPL,3/21/2021,MIB,TermLife,ACC
31,PMCPL,3/21/2021,MIB,TermLife,RUW
7,PMCPL,3/21/2021,POSTPROCESSING,TermLife,ACC
21,PMCPL,3/21/2021,POSTPROCESSING,TermLife,PP
12,PMCPL,3/21/2021,POSTPROCESSING,TermLife,RUW
28,PMCPL,3/22/2021,DISCLOSURES,TermLife,ACC
4,PMCPL,3/22/2021,DISCLOSURES,TermLife,DCL
22,PMCPL,3/22/2021,DISCLOSURES,TermLife,RUW
18,PMCPL,3/22/2021,MIB,TermLife,ACC
34,PMCPL,3/22/2021,MIB,TermLife,RUW
9,PMCPL,3/22/2021,POSTPROCESSING,TermLife,ACC
38,PMCPL,3/22/2021,POSTPROCESSING,TermLife,DCL
19,PMCPL,3/22/2021,POSTPROCESSING,TermLife,RUW
25,PMCPL,3/23/2021,DISCLOSURES,TermLife,ACC
31,PMCPL,3/23/2021,DISCLOSURES,TermLife,RUW
18,PMCPL,3/23/2021,MIB,TermLife,ACC
26,PMCPL,3/23/2021,MIB,TermLife,RUW
3,PMCPL,3/23/2021,POSTPROCESSING,TermLife,ACC
24,PMCPL,3/23/2021,POSTPROCESSING,TermLife,RUW
11,PMCPL,3/24/2021,DISCLOSURES,TermLife,ACC
38,PMCPL,3/24/2021,DISCLOSURES,TermLife,RUW
39,PMCPL,3/24/2021,MIB,TermLife,ACC
4,PMCPL,3/24/2021,MIB,TermLife,RUW
28,PMCPL,3/24/2021,POSTPROCESSING,TermLife,ACC
32,PMCPL,3/24/2021,POSTPROCESSING,TermLife,RUW
29,PMCPL,3/25/2021,DISCLOSURES,TermLife,ACC
4,PMCPL,3/25/2021,DISCLOSURES,TermLife,PP
16,PMCPL,3/25/2021,DISCLOSURES,TermLife,RUW
8,PMCPL,3/25/2021,MIB,TermLife,ACC
40,PMCPL,3/25/2021,MIB,TermLife,RUW
13,PMCPL,3/25/2021,POSTPROCESSING,TermLife,ACC
5,PMCPL,3/25/2021,POSTPROCESSING,TermLife,PP
21,PMCPL,3/25/2021,POSTPROCESSING,TermLife,RUW
24,PMCPL,3/26/2021,DISCLOSURES,TermLife,ACC
35,PMCPL,3/26/2021,DISCLOSURES,TermLife,DCL
6,PMCPL,3/26/2021,DISCLOSURES,TermLife,RUW
40,PMCPL,3/26/2021,MIB,TermLife,ACC
29,PMCPL,3/26/2021,MIB,TermLife,RUW
20,PMCPL,3/26/2021,POSTPROCESSING,TermLife,ACC
39,PMCPL,3/26/2021,POSTPROCESSING,TermLife,DCL
4,PMCPL,3/26/2021,POSTPROCESSING,TermLife,RUW
28,PMCPL,3/27/2021,DISCLOSURES,TermLife,ACC
10,PMCPL,3/27/2021,DISCLOSURES,TermLife,DCL
37,PMCPL,3/27/2021,DISCLOSURES,TermLife,RUW
28,PMCPL,3/27/2021,MIB,TermLife,ACC
25,PMCPL,3/27/2021,MIB,TermLife,RUW
32,PMCPL,3/27/2021,POSTPROCESSING,TermLife,ACC
12,PMCPL,3/27/2021,POSTPROCESSING,TermLife,DCL
10,PMCPL,3/27/2021,POSTPROCESSING,TermLife,RUW
29,PMCPL,3/28/2021,DISCLOSURES,TermLife,ACC
26,PMCPL,3/28/2021,DISCLOSURES,TermLife,PP
18,PMCPL,3/28/2021,DISCLOSURES,TermLife,RUW
3,PMCPL,3/28/2021,MIB,TermLife,ACC
37,PMCPL,3/28/2021,MIB,TermLife,RUW
28,PMCPL,3/28/2021,POSTPROCESSING,TermLife,ACC
29,PMCPL,3/28/2021,POSTPROCESSING,TermLife,PP
35,PMCPL,3/28/2021,POSTPROCESSING,TermLife,RUW
32,PMCPL,3/29/2021,DISCLOSURES,TermLife,ACC
9,PMCPL,3/29/2021,DISCLOSURES,TermLife,PP
33,PMCPL,3/29/2021,DISCLOSURES,TermLife,RUW
40,PMCPL,3/29/2021,MIB,TermLife,ACC
13,PMCPL,3/29/2021,MIB,TermLife,RUW
5,PMCPL,3/29/2021,POSTPROCESSING,TermLife,ACC
19,PMCPL,3/29/2021,POSTPROCESSING,TermLife,PP
30,PMCPL,3/29/2021,POSTPROCESSING,TermLife,RUW
39,PMCPL,3/30/2021,DISCLOSURES,TermLife,ACC
27,PMCPL,3/30/2021,DISCLOSURES,TermLife,PP
28,PMCPL,3/30/2021,DISCLOSURES,TermLife,RUW
10,PMCPL,3/30/2021,MIB,TermLife,ACC
6,PMCPL,3/30/2021,MIB,TermLife,RUW
30,PMCPL,3/30/2021,POSTPROCESSING,TermLife,ACC
16,PMCPL,3/30/2021,POSTPROCESSING,TermLife,PP
13,PMCPL,3/30/2021,POSTPROCESSING,TermLife,RUW
5,PMCPL,3/31/2021,DISCLOSURES,TermLife,ACC
13,PMCPL,3/31/2021,DISCLOSURES,TermLife,ACC_STANDARD_TB
16,PMCPL,3/31/2021,DISCLOSURES,TermLife,DCL
31,PMCPL,3/31/2021,DISCLOSURES,TermLife,PP
32,PMCPL,3/31/2021,DISCLOSURES,TermLife,RUW
7,PMCPL,3/31/2021,MIB,TermLife,ACC
32,PMCPL,3/31/2021,MIB,TermLife,RUW
25,PMCPL,3/31/2021,POSTPROCESSING,TermLife,ACC
18,PMCPL,3/31/2021,POSTPROCESSING,TermLife,ACC_STANDARD_TB
27,PMCPL,3/31/2021,POSTPROCESSING,TermLife,DCL
30,PMCPL,3/31/2021,POSTPROCESSING,TermLife,PP
16,PMCPL,3/31/2021,POSTPROCESSING,TermLife,RUW
20,PMCPL,4/1/2021,DISCLOSURES,TermLife,ACC
27,PMCPL,4/1/2021,DISCLOSURES,TermLife,DCL
16,PMCPL,4/1/2021,DISCLOSURES,TermLife,RUW
36,PMCPL,4/1/2021,MIB,TermLife,ACC
34,PMCPL,4/1/2021,MIB,TermLife,RUW
33,PMCPL,4/1/2021,POSTPROCESSING,TermLife,ACC
21,PMCPL,4/1/2021,POSTPROCESSING,TermLife,DCL
35,PMCPL,4/1/2021,POSTPROCESSING,TermLife,RUW
38,PMCPL,4/2/2021,DISCLOSURES,TermLife,ACC
23,PMCPL,4/2/2021,DISCLOSURES,TermLife,PP
35,PMCPL,4/2/2021,DISCLOSURES,TermLife,RUW
40,PMCPL,4/2/2021,MIB,TermLife,ACC
23,PMCPL,4/2/2021,MIB,TermLife,RUW
13,PMCPL,4/2/2021,POSTPROCESSING,TermLife,ACC
24,PMCPL,4/2/2021,POSTPROCESSING,TermLife,PP
12,PMCPL,4/2/2021,POSTPROCESSING,TermLife,RUW
15,PMCPL,4/3/2021,DISCLOSURES,TermLife,ACC
33,PMCPL,4/3/2021,DISCLOSURES,TermLife,ACC_STANDARD_TB
29,PMCPL,4/3/2021,DISCLOSURES,TermLife,RUW
19,PMCPL,4/3/2021,MIB,TermLife,ACC
1,PMCPL,4/3/2021,MIB,TermLife,RUW
24,PMCPL,4/3/2021,POSTPROCESSING,TermLife,ACC
36,PMCPL,4/3/2021,POSTPROCESSING,TermLife,RUW
36,PMCPL,4/4/2021,DISCLOSURES,TermLife,ACC
1,PMCPL,4/4/2021,DISCLOSURES,TermLife,PP
31,PMCPL,4/4/2021,DISCLOSURES,TermLife,RUW
13,PMCPL,4/4/2021,MIB,TermLife,ACC
3,PMCPL,4/4/2021,MIB,TermLife,RUW
36,PMCPL,4/4/2021,POSTPROCESSING,TermLife,ACC
10,PMCPL,4/4/2021,POSTPROCESSING,TermLife,PP
10,PMCPL,4/4/2021,POSTPROCESSING,TermLife,RUW
16,PMCPL,4/5/2021,DISCLOSURES,TermLife,ACC
8,PMCPL,4/5/2021,DISCLOSURES,TermLife,ACC_STANDARD_TB
32,PMCPL,4/5/2021,DISCLOSURES,TermLife,DCL
29,PMCPL,4/5/2021,DISCLOSURES,TermLife,PP
23,PMCPL,4/5/2021,DISCLOSURES,TermLife,PP12
22,PMCPL,4/5/2021,DISCLOSURES,TermLife,RUW
2,PMCPL,4/5/2021,MIB,TermLife,ACC
20,PMCPL,4/5/2021,MIB,TermLife,RUW
22,PMCPL,4/5/2021,POSTPROCESSING,TermLife,ACC
7,PMCPL,4/5/2021,POSTPROCESSING,TermLife,ACC_STANDARD_TB
35,PMCPL,4/5/2021,POSTPROCESSING,TermLife,DCL
39,PMCPL,4/5/2021,POSTPROCESSING,TermLife,PP
6,PMCPL,4/5/2021,POSTPROCESSING,TermLife,PP12
24,PMCPL,4/5/2021,POSTPROCESSING,TermLife,RUW
12,PMCPL,4/6/2021,DISCLOSURES,TermLife,ACC
6,PMCPL,4/6/2021,DISCLOSURES,TermLife,RUW
14,PMCPL,4/6/2021,MIB,TermLife,ACC
35,PMCPL,4/6/2021,MIB,TermLife,RUW
14,PMCPL,4/6/2021,POSTPROCESSING,TermLife,ACC
28,PMCPL,4/6/2021,POSTPROCESSING,TermLife,RUW
12,PMCPL,4/7/2021,DISCLOSURES,TermLife,ACC
3,PMCPL,4/7/2021,DISCLOSURES,TermLife,DCL
19,PMCPL,4/7/2021,DISCLOSURES,TermLife,PP
3,PMCPL,4/7/2021,DISCLOSURES,TermLife,RUW
9,PMCPL,4/7/2021,MIB,TermLife,ACC
35,PMCPL,4/7/2021,MIB,TermLife,RUW
29,PMCPL,4/7/2021,POSTPROCESSING,TermLife,ACC
33,PMCPL,4/7/2021,POSTPROCESSING,TermLife,DCL
21,PMCPL,4/7/2021,POSTPROCESSING,TermLife,PP
27,PMCPL,4/7/2021,POSTPROCESSING,TermLife,RUW
3,PMCPL,4/8/2021,DISCLOSURES,TermLife,ACC
24,PMCPL,4/8/2021,DISCLOSURES,TermLife,ACC_STANDARD_TB
13,PMCPL,4/8/2021,DISCLOSURES,TermLife,PP
14,PMCPL,4/8/2021,DISCLOSURES,TermLife,RUW
34,PMCPL,4/8/2021,MIB,TermLife,ACC
23,PMCPL,4/8/2021,MIB,TermLife,RUW
5,PMCPL,4/8/2021,POSTPROCESSING,TermLife,ACC
34,PMCPL,4/8/2021,POSTPROCESSING,TermLife,ACC_STANDARD_TB
36,PMCPL,4/8/2021,POSTPROCESSING,TermLife,PP
34,PMCPL,4/8/2021,POSTPROCESSING,TermLife,RUW
13,PMCPL,4/9/2021,DISCLOSURES,TermLife,ACC
30,PMCPL,4/9/2021,DISCLOSURES,TermLife,PP6
39,PMCPL,4/9/2021,DISCLOSURES,TermLife,RUW
23,PMCPL,4/9/2021,MIB,TermLife,ACC
22,PMCPL,4/9/2021,MIB,TermLife,RUW
34,PMCPL,4/9/2021,POSTPROCESSING,TermLife,ACC
11,PMCPL,4/9/2021,POSTPROCESSING,TermLife,PP6
32,PMCPL,4/9/2021,POSTPROCESSING,TermLife,RUW
32,PMCPL,4/10/2021,DISCLOSURES,TermLife,ACC
29,PMCPL,4/10/2021,DISCLOSURES,TermLife,PP
32,PMCPL,4/10/2021,DISCLOSURES,TermLife,RUW
9,PMCPL,4/10/2021,MIB,TermLife,ACC
21,PMCPL,4/10/2021,MIB,TermLife,RUW
30,PMCPL,4/10/2021,POSTPROCESSING,TermLife,ACC
14,PMCPL,4/10/2021,POSTPROCESSING,TermLife,PP
36,PMCPL,4/10/2021,POSTPROCESSING,TermLife,RUW
35,PMCPL,4/11/2021,DISCLOSURES,TermLife,PP
14,PMCPL,4/11/2021,DISCLOSURES,TermLife,RUW
12,PMCPL,4/11/2021,MIB,TermLife,ACC
3,PMCPL,4/11/2021,POSTPROCESSING,TermLife,PP
19,PMCPL,4/11/2021,POSTPROCESSING,TermLife,RUW
